"BrandName","BrandOriginCountry","BrandOriginRegion","BrandSector","BrandSubSector","Rank2001","Rank2002","Rank2003","Rank2004","Rank2005","Rank2006","Rank2007","Rank2008","Rank2009","Rank2010","Rank2011","Rank2012","Rank2013","Rank2014","Rank2015","Rank2016","Rank2017","Rank2018","Rank2019","Rank2020","Rank2021","Equity2001","Equity2002","Equity2003","Equity2004","Equity2005","Equity2006","Equity2007","Equity2008","Equity2009","Equity2010","Equity2011","Equity2012","Equity2013","Equity2014","Equity2015","Equity2016","Equity2017","Equity2018","Equity2019","Equity2020","Equity2021","GrowthRate2001","GrowthRate2002","GrowthRate2003","GrowthRate2004","GrowthRate2005","GrowthRate2006","GrowthRate2007","GrowthRate2008","GrowthRate2009","GrowthRate2010","GrowthRate2011","GrowthRate2012","GrowthRate2013","GrowthRate2014","GrowthRate2015","GrowthRate2016","GrowthRate2017","GrowthRate2018","GrowthRate2019","GrowthRate2020","GrowthRate2021"
"Louis Vuitton","France","Europe","Fashion","Luxury","38","41","45","44","18","17","17","16","16","16","18","17","17","19","20","19","19","18","17","17","13","7053","7054","6708","6602","16077","17606","20321","21602","21120","21860","23172","23577","24893","22552","22250","23998","22919","28152","32223","31720","36766","","0.01","-4.91","-1.58","143.52","9.51","15.42","6.30","-2.23","3.50","6.00","1.75","5.58","-9.40","-1.34","7.86","-4.50","22.83","14.46","-1.56","15.91"
"Chanel","France","Europe","Fashion","Luxury","61","64","61","64","65","61","58","60","59","","","","","","","","","23","22","21","22","4265","4272","4315","4416","4778","5156","5830","6355","6040","","","","","","","","","20005","22134","21203","22109","","0.16","1.01","2.34","8.20","7.91","13.07","9.01","-4.96","","","","","","","","","","10.64","-4.21","4.27"
"Hermès","France","Europe","Fashion","Luxury","","","73","79","82","81","73","76","70","69","66","63","54","46","41","34","32","32","28","28","23","","","3416","3376","3540","3854","4255","4575","4598","4782","5365","6182","7616","8977","10944","12833","14210","16372","17920","17961","21600","","","","-1.17","4.86","8.87","10.40","7.52","0.50","4.00","12.19","15.23","23.20","17.87","21.91","17.26","10.73","15.21","9.46","0.23","20.26"
"L’Oréal","France","Europe","Fashion","Cosmetics","","54","47","49","52","53","51","51","44","45","40","42","40","43","43","45","45","48","51","43","53","","5079","5600","5902","6005","6392","7045","7508","7748","7981","8699","8821","9874","10162","10798","10930","10674","11102","11589","12553","12501","","","10.26","5.39","1.75","6.44","10.22","6.57","3.20","3.01","9.00","1.40","11.94","2.92","6.26","1.22","-2.34","4.01","4.39","8.32","-0.41"
"Dior","France","Europe","Fashion","Luxury","","","","","","","","","","","","","","","","89","95","91","82","83","77","","","","","","","","","","","","","","","","4909","4587","5223","6045","5988","7024","","","","","","","","","","","","","","","","","-6.56","13.87","15.74","-0.94","17.30"
"Sephora","France","Europe","Fashion","Cosmetics","100","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","4628","","","","","","","","","","","","","","","","","","","","",""
"Lancome","France","Europe","Fashion","Cosmetics","","","","","","","","","91","96","","","","","","","","","","","","","","","","","","","","3235","3403","","","","","","","","","","","","","","","","","","","","","5.19","","","","","","","","","","",""
"Adidas","Germany","Europe","Fashion","Sportswear","70","68","67","69","71","71","69","70","62","62","60","60","55","59","62","60","55","50","45","50","49","3650","3690","3679","3740","4033","4290","4767","5072","5397","5495","6154","6699","7535","7378","6811","7885","9216","10772","11992","12070","13381","","1.10","-0.30","1.66","7.83","6.37","11.12","6.40","6.41","1.82","11.99","8.86","12.48","-2.08","-7.69","15.77","16.88","16.88","11.33","0.65","10.86"
"Boss","Germany","Europe","Fashion","Apparel","","","","","","","","","","","","","","97","96","","","","","","","","","","","","","","","","","","","","4143","4270","","","","","","","","","","","","","","","","","","","","","3.07","-100.00","","","","",""
"Nivea","Germany","Europe","Fashion","Cosmetics","87","91","92","97","98","99","96","98","86","87","87","","","","","","","","","","","1782","2059","2221","2409","2576","2692","3116","3401","3557","3734","3883","","","","","","","","","","","","15.54","7.87","8.46","6.93","4.50","15.75","9.15","4.59","4.98","3.99","","","","","","","","","",""
"Puma","Germany","Europe","Fashion","Sportswear","","","","","","","","","97","","","","","","","","","","","","","","","","","","","","","3154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gucci","Italy","Europe","Fashion","Luxury","50","52","53","59","49","46","46","45","41","44","39","38","38","41","50","53","51","39","33","32","33","5363","5304","5100","4715","6619","7158","7697","8254","8182","8346","8763","9446","10151","10385","8882","9385","9969","12942","15949","15675","16656","","-1.10","-3.85","-7.55","40.38","8.14","7.53","7.24","-0.87","2.00","5.00","7.79","7.46","2.31","-14.47","5.66","6.22","29.82","23.23","-1.72","6.26"
"Prada","Italy","Europe","Fashion","Luxury","","86","87","95","93","96","94","91","87","","","84","72","70","69","81","94","95","100","99","94","","2489","2535","2568","2760","2874","3286","3585","3530","","","4271","5570","5977","6222","5504","4716","4812","4781","4495","5416","","","1.85","1.30","7.48","4.13","14.34","9.10","-1.53","","","","30.41","7.31","4.10","-11.54","-14.32","2.04","-0.64","-5.98","20.49"
"Benetton","Italy","Europe","Fashion","Apparel","100","","","","","","","","","","","","","","","","","","","","","1002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgari","Italy","Europe","Fashion","Luxury","","","","","94","95","","","","","","","","","","","","","","","","","","","","2715","2875","","","","","","","","","","","","","","","","","","","","","5.89","","","","","","","","","","","","","","",""
