Rank ,City ,State ,Land area (sq mi), (km2),Water area (sq mi), (km2),Total area (sq mi), (km2),Population (2020)
1,Sitka,Alaska,"2,870.10","7,434","1,945.10","5,038","4,815.10","12,471","8,458"
2,Juneau,Alaska,"2,704.00","7,003",550.7,"1,426","3,254.70","8,430","32,255"
3,Wrangell,Alaska,"2,556.00","6,620",920.6,"2,384","3,476.60","9,004","2,127"
4,Anchorage,Alaska,"1,706.80","4,421",239.9,621,"1,946.70","5,042","2,91,247"
5,Tribune,Kansas,778.2,"2,016",0,0,778.2,"2,016","1,182"
6,Jacksonville,Florida,747.3,"1,935",127.2,329,874.5,"2,265","9,49,611"
7,Anaconda,Montana,736.7,"1,908",4.7,12,741.4,"1,920","9,421"
8,Butte,Montana,715.8,"1,854",0.6,1.6,716.3,"1,855","34,494"
9,Houston,Texas,640.4,"1,659",31.2,81,671.7,"1,740","23,04,580"
10,Oklahoma City,Oklahoma,606.2,"1,570",14.3,37,620.5,"1,607","6,81,054"
11,Phoenix,Arizona,518,"1,342",1.1,2.8,519.1,"1,344","16,08,139"
12,San Antonio,Texas,498.8,"1,292",5.8,15,504.6,"1,307","14,34,625"
13,Nashville,Tennessee,475.8,"1,232",21.7,56,497.5,"1,289","6,89,447"
14,Los Angeles,California,469.5,"1,216",32.1,83,501.6,"1,299","38,98,747"
15,Statenville,Georgia,420.4,"1,089",0.3,0.78,420.7,"1,090","3,697"
16,Suffolk,Virginia,399.2,"1,034",29.7,77,428.9,"1,111","94,324"
17,Buckeye,Arizona,393,"1,018",0.2,0.52,393.2,"1,018","91,502"
18,Indianapolis ,Indiana,361.6,937,6.3,16,367.9,953,"8,87,642"
19,Fort Worth,Texas,347.3,900,8.3,21,355.5,921,"9,18,915"
20,Dallas,Texas,339.6,880,43.9,114,383.4,993,"13,04,379"
21,Chesapeake,Virginia,338.5,877,12.5,32,350.9,909,"2,49,422"
22,San Diego,California,325.9,844,46.5,120,372.4,965,"13,86,932"
23,Louisville ,Kentucky,324.9,841,16.5,43,341.4,884,"6,33,045"
24,Austin,Texas,319.9,829,6.6,17,326.5,846,"9,61,855"
25,Kansas City,Missouri,314.7,815,4.1,11,318.8,826,"5,08,090"
26,Charlotte,North Carolina,308.3,798,2,5.2,310.3,804,"8,74,579"
27,Augusta ,Georgia,302.3,783,4.2,11,306.5,794,"2,02,081"
28,New York City,New York,300.5,778,172,445,472.4,"1,224","88,04,190"
29,Memphis,Tennessee,297,769,7.6,20,304.6,789,"6,33,104"
30,Lexington,Kentucky,283.6,735,1.9,4.9,285.5,739,"3,22,570"
31,El Paso,Texas,258.4,669,0.8,2.1,259.2,671,"6,78,815"
32,Macon,Georgia,249.4,646,5.5,14,254.9,660,"1,57,346"
33,Cusseta,Georgia,248.7,644,2.4,6.2,251.2,651,"9,565"
34,Virginia Beach,Virginia,244.7,634,252.8,655,497.5,"1,289","4,59,470"
35,Tucson,Arizona,241,624,0.3,0.78,241.3,625,"5,42,629"
36,Chicago,Illinois,227.7,590,6.8,18,234.5,607,"27,46,388"
37,Columbus,Ohio,220,570,5.9,15,225.9,585,"9,05,748"
38,Huntsville,Alabama,218.1,565,1.4,3.6,219.6,569,"2,15,006"
39,Columbus,Georgia,216.5,561,4.5,12,221,572,"2,06,922"
40,Valdez,Alaska,212.7,551,59.2,153,271.9,704,"3,985"
41,Preston ,Georgia,209.7,543,0.9,2.3,210.6,545,"2,348"
42,Boulder City,Nevada,208.3,539,0,0,208.3,539,"14,885"
43,California City,California,203.6,527,0.1,0.26,203.7,528,"14,973"
44,Tulsa,Oklahoma,197.5,512,4.1,11,201.6,522,"4,13,066"
45,Colorado Springs,Colorado,195.4,506,0.4,1,195.8,507,"4,78,961"
46,Goodyear,Arizona,191.3,495,0,0,191.3,495,"95,294"
47,Albuquerque,New Mexico,187.3,485,1.7,4.4,189,490,"5,64,559"
48,Scottsdale,Arizona,184,477,0.4,1,184.4,478,"2,41,361"
49,Hibbing,Minnesota,182,471,4.4,11,186.5,483,"16,214"
50,Norman,Oklahoma,178.8,463,10.5,27,189.3,490,"1,28,026"
51,San Jose,California,178.3,462,3.1,8,181.4,470,"10,13,240"
52,Peoria,Arizona,176.1,456,3.2,8.3,179.2,464,"1,90,985"
53,New Orleans,Louisiana,169.5,439,180.4,467,349.8,906,"3,83,997"
54,Corpus Christi,Texas,162.2,420,328.1,850,490.3,"1,270","3,17,863"
55,Wichita,Kansas,162,420,4.5,12,166.5,431,"3,97,532"
56,Aurora,Colorado,160.1,415,0.6,1.6,160.7,416,"3,86,261"
57,Montgomery,Alabama,159.9,414,2.4,6.2,162.3,420,"2,00,603"
58,Denver,Colorado,153.1,397,1.7,4.4,154.7,401,"7,15,522"
59,Sierra Vista,Arizona,152.3,394,0.3,0.78,152.5,395,"45,308"
60,Georgetown,Georgia,151.2,392,9.3,24,160.6,416,"2,235"
61,Bakersfield,California,149.8,388,1.5,3.9,151.2,392,"4,03,455"
62,Fayetteville,North Carolina,148.3,384,1.8,4.7,150.1,389,"2,08,501"
63,Raleigh,North Carolina,147.1,381,1.1,2.8,148.2,384,"4,67,665"
64,Birmingham,Alabama,147,381,2.5,6.5,149.6,387,"2,00,733"
65,Carson City,Nevada,144.5,374,12.6,33,157.1,407,"58,639"
66,Chattanooga,Tennessee,142.4,369,7.7,20,150.1,389,"1,81,099"
67,Las Vegas,Nevada,141.8,367,0.1,0.26,141.9,368,"6,41,903"
68,Omaha,Nebraska,141.6,367,3.6,9.3,145.2,376,"4,86,051"
69,Bunnell,Florida,139.8,362,0.1,0.26,139.8,362,"3,276"
70,Mobile,Alabama,139.5,361,40.6,105,180.1,466,"1,87,041"
71,Detroit,Michigan,138.7,359,4.2,11,142.9,370,"6,39,111"
72,Mesa,Arizona,138.7,359,0.7,1.8,139.4,361,"5,04,258"
73,Columbia,South Carolina,136.8,354,2.9,7.5,139.6,362,"1,36,632"
74,Atlanta,Georgia,135.3,350,1,2.6,136.3,353,"4,98,715"
75,Lubbock,Texas,134.6,349,1.2,3.1,135.8,352,"2,57,141"
76,Philadelphia,Pennsylvania,134.4,348,8.3,21,142.7,370,"16,03,797"
77,Portland,Oregon,133.4,346,11.5,30,145,376,"6,52,503"
78,Winston-Salem,North Carolina,132.7,344,1.2,3.1,133.9,347,"2,49,545"
79,Brownsville,Texas,131.5,341,13.7,35,145.2,376,"1,86,738"
80,Greensboro,North Carolina,129.6,336,5.2,13,134.8,349,"2,99,035"
81,Lynchburg,Tennessee,129.2,335,1.2,3.1,130.4,338,"6,461"
82,Kansas City,Kansas,124.7,323,3.6,9.3,128.3,332,"1,56,607"
83,Fernley,Nevada,121.3,314,6.7,17,128,332,"22,895"
84,Marana,Arizona,121.1,314,0.7,1.8,121.8,315,"51,908"
85,Yuma,Arizona,120.7,313,0.1,0.26,120.7,313,"95,548"
86,Little Rock,Arkansas,120,311,3,7.8,123,319,"2,02,591"
87,Port St. Lucie,Florida,119.2,309,1.6,4.1,120.8,313,"2,04,851"
88,Athens,Georgia,116.3,301,1.8,4.7,118.1,306,"1,27,315"
89,Fresno,California,115.2,298,1.2,3.1,116.4,301,"5,42,107"
90,Charleston,South Carolina,114.8,297,20.4,53,135.1,350,"1,50,227"
91,Hartsville,Tennessee,114.3,296,2.3,6,116.6,302,"11,615"
92,Tampa,Florida,114,295,61.8,160,175.8,455,"3,84,959"
93,Eloy,Arizona,113.6,294,0.1,0.26,113.6,294,"15,635"
94,Durham,North Carolina,112.8,292,0.8,2.1,113.6,294,"2,83,506"
95,Jackson,Mississippi,111.7,289,2.1,5.4,113.9,295,"1,53,701"
96,Casa Grande,Arizona,110.9,287,0,0,110.9,287,"53,658"
97,Fort Wayne,Indiana,110.7,287,0.2,0.52,111,287,"2,63,886"
98,Orlando,Florida,110.6,286,8.3,21,118.9,308,"3,07,573"
99,Salt Lake City,Utah,110.3,286,0.5,1.3,110.8,287,"1,99,723"
100,Surprise,Arizona,110.3,286,0.2,0.52,110.5,286,"1,43,148"
101,Reno,Nevada,108.8,282,2.8,7.3,111.6,289,"2,64,165"
102,Shreveport,Louisiana,107.8,279,15.5,40,123.3,319,"1,87,593"
103,Savannah,Georgia,106.8,277,4.8,12,111.6,289,"1,47,780"
104,Abilene,Texas,106.7,276,5.4,14,112.1,290,"1,25,182"
105,Laredo,Texas,106.5,276,1.5,3.9,108,280,"2,55,205"
106,Henderson,Nevada,106.2,275,0.5,1.3,106.7,276,"3,17,610"
107,Palmdale,California,106.1,275,0.2,0.52,106.3,275,"1,69,450"
108,Cape Coral,Florida,106,275,13.4,35,119.4,309,"1,94,016"
109,Babbitt,Minnesota,106,275,0.8,2.1,106.8,277,"1,397"
110,Rio Rancho,New Mexico,103.4,268,0.3,0.78,103.6,268,"1,04,046"
