Rank ,City,State,"Land area, km2","Water area, km2","Total area, km2",Population (2020)
1,Sitka,Alaska,7434.0,5038.0,12471.0,8458
2,Juneau,Alaska,7003.0,1426.0,8430.0,32255
3,Wrangell,Alaska,6620.0,2384.0,9004.0,2127
4,Anchorage,Alaska,4421.0,621.0,5042.0,291247
5,Tribune,Kansas,2016.0,0.0,2016.0,1182
6,Jacksonville,Florida,1935.0,329.0,2265.0,949611
7,Anaconda,Montana,1908.0,12.0,1920.0,9421
8,Butte,Montana,1854.0,1.6,1855.0,34494
9,Houston,Texas,1659.0,81.0,1740.0,2304580
10,Oklahoma City,Oklahoma,1570.0,37.0,1607.0,681054
11,Phoenix,Arizona,1342.0,2.8,1344.0,1608139
12,San Antonio,Texas,1292.0,15.0,1307.0,1434625
13,Nashville,Tennessee,1232.0,56.0,1289.0,689447
14,Los Angeles,California,1216.0,83.0,1299.0,3898747
15,Statenville,Georgia,1089.0,0.78,1090.0,3697
16,Suffolk,Virginia,1034.0,77.0,1111.0,94324
17,Buckeye,Arizona,1018.0,0.52,1018.0,91502
18,Indianapolis ,Indiana,937.0,16.0,953.0,887642
19,Fort Worth,Texas,900.0,21.0,921.0,918915
20,Dallas,Texas,880.0,114.0,993.0,1304379
21,Chesapeake,Virginia,877.0,32.0,909.0,249422
22,San Diego,California,844.0,120.0,965.0,1386932
23,Louisville ,Kentucky,841.0,43.0,884.0,633045
24,Austin,Texas,829.0,17.0,846.0,961855
25,Kansas City,Missouri,815.0,11.0,826.0,508090
26,Charlotte,North Carolina,798.0,5.2,804.0,874579
27,Augusta ,Georgia,783.0,11.0,794.0,202081
28,New York City,New York,778.0,445.0,1224.0,8804190
29,Memphis,Tennessee,769.0,20.0,789.0,633104
30,Lexington,Kentucky,735.0,4.9,739.0,322570
31,El Paso,Texas,669.0,2.1,671.0,678815
32,Macon,Georgia,646.0,14.0,660.0,157346
33,Cusseta,Georgia,644.0,6.2,651.0,9565
34,Virginia Beach,Virginia,634.0,655.0,1289.0,459470
35,Tucson,Arizona,624.0,0.78,625.0,542629
36,Chicago,Illinois,590.0,18.0,607.0,2746388
37,Columbus,Ohio,570.0,15.0,585.0,905748
38,Huntsville,Alabama,565.0,3.6,569.0,215006
39,Columbus,Georgia,561.0,12.0,572.0,206922
40,Valdez,Alaska,551.0,153.0,704.0,3985
41,Preston ,Georgia,543.0,2.3,545.0,2348
42,Boulder City,Nevada,539.0,0.0,539.0,14885
43,California City,California,527.0,0.26,528.0,14973
44,Tulsa,Oklahoma,512.0,11.0,522.0,413066
45,Colorado Springs,Colorado,506.0,1.0,507.0,478961
46,Goodyear,Arizona,495.0,0.0,495.0,95294
47,Albuquerque,New Mexico,485.0,4.4,490.0,564559
48,Scottsdale,Arizona,477.0,1.0,478.0,241361
49,Hibbing,Minnesota,471.0,11.0,483.0,16214
50,Norman,Oklahoma,463.0,27.0,490.0,128026
51,San Jose,California,462.0,8.0,470.0,1013240
52,Peoria,Arizona,456.0,8.3,464.0,190985
53,New Orleans,Louisiana,439.0,467.0,906.0,383997
54,Corpus Christi,Texas,420.0,850.0,1270.0,317863
55,Wichita,Kansas,420.0,12.0,431.0,397532
56,Aurora,Colorado,415.0,1.6,416.0,386261
57,Montgomery,Alabama,414.0,6.2,420.0,200603
58,Denver,Colorado,397.0,4.4,401.0,715522
59,Sierra Vista,Arizona,394.0,0.78,395.0,45308
60,Georgetown,Georgia,392.0,24.0,416.0,2235
61,Bakersfield,California,388.0,3.9,392.0,403455
62,Fayetteville,North Carolina,384.0,4.7,389.0,208501
